epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.302,1.97233,3.68823,2.14629,0.21213,0.22439,0.14908,0.07789,1.71993,2.50051,1.90635,0.0033269,0.0033269,0.0033269
2,258.046,1.46269,2.42517,1.65103,0.31897,0.33755,0.27142,0.15276,1.58531,2.19152,1.74545,0.00652836,0.00652836,0.00652836
3,383.981,1.3938,2.20942,1.59268,0.33117,0.32786,0.268,0.14943,1.54586,2.20053,1.74379,0.00959782,0.00959782,0.00959782
4,509.69,1.3947,2.18285,1.59656,0.44903,0.33838,0.32303,0.18248,1.53424,2.12162,1.71784,0.009406,0.009406,0.009406
5,639.816,1.35875,2.07717,1.56199,0.44606,0.39362,0.38054,0.2271,1.42325,1.83954,1.62473,0.009208,0.009208,0.009208
6,805.902,1.32601,1.999,1.53754,0.45152,0.39328,0.39196,0.23283,1.42608,1.87592,1.63945,0.00901,0.00901,0.00901
7,961.385,1.30033,1.94696,1.5223,0.49937,0.43435,0.43324,0.26312,1.35945,1.71996,1.55663,0.008812,0.008812,0.008812
8,1113.43,1.28693,1.9194,1.51207,0.51051,0.4593,0.46543,0.28457,1.35596,1.67041,1.55836,0.008614,0.008614,0.008614
9,1260.59,1.26561,1.85873,1.49192,0.54835,0.47454,0.48782,0.29994,1.34379,1.64385,1.56567,0.008416,0.008416,0.008416
10,1397.79,1.25805,1.84201,1.48973,0.53695,0.47665,0.48896,0.30398,1.32459,1.59958,1.53292,0.008218,0.008218,0.008218
11,1530.41,1.2385,1.80484,1.47147,0.56974,0.50494,0.53385,0.33585,1.27019,1.50061,1.47543,0.00802,0.00802,0.00802
12,1671.55,1.23059,1.78459,1.46691,0.59301,0.50179,0.54537,0.3463,1.27041,1.47808,1.4719,0.007822,0.007822,0.007822
13,1811.58,1.21725,1.75183,1.45273,0.61763,0.51172,0.55599,0.35207,1.27777,1.44475,1.47824,0.007624,0.007624,0.007624
14,1958.6,1.20575,1.71447,1.4478,0.61436,0.52716,0.57176,0.36805,1.24932,1.39215,1.45567,0.007426,0.007426,0.007426
15,2105.91,1.20218,1.71629,1.44484,0.61798,0.52927,0.57573,0.3718,1.23038,1.40262,1.44088,0.007228,0.007228,0.007228
16,2262.83,1.1871,1.687,1.43597,0.64618,0.53552,0.59126,0.38463,1.23685,1.36906,1.45126,0.00703,0.00703,0.00703
17,2420.81,1.18404,1.66767,1.431,0.65977,0.5377,0.59941,0.39472,1.2072,1.34897,1.42547,0.006832,0.006832,0.006832
18,2569.13,1.17614,1.66365,1.4258,0.63836,0.55249,0.60093,0.3915,1.20154,1.32889,1.41695,0.006634,0.006634,0.006634
19,2698.11,1.17102,1.64353,1.42469,0.65916,0.55424,0.61655,0.40466,1.19407,1.30164,1.40983,0.006436,0.006436,0.006436
20,2834.05,1.16403,1.62583,1.41439,0.6422,0.56512,0.61849,0.41067,1.1775,1.2869,1.39602,0.006238,0.006238,0.006238
21,2970.93,1.15943,1.61508,1.41335,0.67038,0.57353,0.63285,0.42215,1.17439,1.28062,1.39038,0.00604,0.00604,0.00604
22,3109.36,1.15274,1.59072,1.40202,0.66379,0.57571,0.63979,0.42641,1.16394,1.25341,1.38217,0.005842,0.005842,0.005842
23,3248.12,1.14703,1.5811,1.40081,0.67565,0.5896,0.65108,0.43689,1.15229,1.2275,1.37363,0.005644,0.005644,0.005644
24,3386.65,1.14185,1.56478,1.39581,0.702,0.57539,0.65223,0.43902,1.13869,1.22058,1.36683,0.005446,0.005446,0.005446
25,3522.46,1.13667,1.55387,1.39622,0.69198,0.59252,0.65882,0.44305,1.14308,1.20721,1.36475,0.005248,0.005248,0.005248
26,3658.28,1.13052,1.54284,1.38903,0.68044,0.59811,0.65823,0.44763,1.14008,1.19895,1.36071,0.00505,0.00505,0.00505
27,3797.74,1.12459,1.5329,1.38562,0.68514,0.61073,0.66956,0.45568,1.1269,1.17639,1.34849,0.004852,0.004852,0.004852
28,3946.06,1.11742,1.52937,1.38521,0.69461,0.61291,0.67531,0.45965,1.12533,1.16675,1.35158,0.004654,0.004654,0.004654
29,4076.23,1.1134,1.51418,1.37717,0.68635,0.61702,0.67541,0.46187,1.11852,1.16478,1.33863,0.004456,0.004456,0.004456
30,4197.97,1.1067,1.50352,1.37242,0.68676,0.62506,0.68385,0.46691,1.11513,1.15239,1.33261,0.004258,0.004258,0.004258
31,4315.76,1.10318,1.48627,1.37028,0.72118,0.60488,0.68475,0.46808,1.11409,1.14261,1.33566,0.00406,0.00406,0.00406
32,4433.01,1.09485,1.46417,1.36543,0.70216,0.61932,0.68346,0.46684,1.10349,1.13822,1.33191,0.003862,0.003862,0.003862
33,4550.22,1.08943,1.46371,1.36358,0.70377,0.63026,0.69081,0.47299,1.10493,1.13094,1.32843,0.003664,0.003664,0.003664
34,4667.64,1.09371,1.4562,1.35965,0.72069,0.61952,0.69118,0.4748,1.10024,1.12433,1.32452,0.003466,0.003466,0.003466
35,4785.5,1.0839,1.43717,1.35509,0.71266,0.62861,0.69704,0.47867,1.09918,1.11471,1.31837,0.003268,0.003268,0.003268
36,4902.54,1.07957,1.43066,1.35075,0.7015,0.64338,0.69847,0.48051,1.09627,1.10662,1.31819,0.00307,0.00307,0.00307
37,5019.54,1.07393,1.41781,1.34682,0.71435,0.63054,0.69792,0.48022,1.09585,1.10246,1.31894,0.002872,0.002872,0.002872
38,5161.58,1.07146,1.41856,1.3475,0.7216,0.63348,0.70241,0.48322,1.09122,1.09952,1.31351,0.002674,0.002674,0.002674
39,5298.29,1.0661,1.40738,1.34453,0.72185,0.63006,0.7051,0.48733,1.08848,1.09077,1.31312,0.002476,0.002476,0.002476
40,5445.66,1.06284,1.39503,1.34132,0.72038,0.64081,0.70905,0.49113,1.08647,1.08511,1.31198,0.002278,0.002278,0.002278
41,5597.36,1.06507,1.25122,1.36395,0.71995,0.63534,0.70435,0.49026,1.08051,1.08454,1.30764,0.00208,0.00208,0.00208
42,5728.55,1.04779,1.20385,1.34749,0.71861,0.64066,0.7071,0.49193,1.07953,1.08002,1.30567,0.001882,0.001882,0.001882
43,5847.11,1.04105,1.19147,1.33832,0.72464,0.63384,0.70682,0.49331,1.07671,1.07784,1.30489,0.001684,0.001684,0.001684
44,5989.17,1.03382,1.17232,1.33519,0.72686,0.63185,0.70965,0.49506,1.07422,1.07321,1.30383,0.001486,0.001486,0.001486
45,6134.21,1.02155,1.15466,1.32846,0.72419,0.64058,0.71236,0.49765,1.07103,1.06941,1.30136,0.001288,0.001288,0.001288
46,6264.22,1.01427,1.1412,1.32166,0.72597,0.64058,0.71294,0.49864,1.06852,1.06494,1.29862,0.00109,0.00109,0.00109
47,6397.73,1.01186,1.12906,1.31975,0.71165,0.65554,0.7145,0.49954,1.06643,1.06165,1.29729,0.000892,0.000892,0.000892
48,6545.21,1.0009,1.11807,1.3098,0.71135,0.65895,0.71559,0.50058,1.06506,1.06123,1.29669,0.000694,0.000694,0.000694
49,6676.05,0.9992,1.10466,1.31048,0.71971,0.65391,0.71591,0.50178,1.06389,1.05983,1.29616,0.000496,0.000496,0.000496
50,6808.77,0.99031,1.0951,1.30213,0.72099,0.65331,0.71592,0.50161,1.06353,1.05768,1.29564,0.000298,0.000298,0.000298
