epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.325,0.96988,2.6177,1.25361,0.65759,0.62225,0.65557,0.44177,1.03535,1.39833,1.25435,0.0033269,0.0033269,0.0033269
2,297.375,1.06922,1.86418,1.32049,0.54847,0.54561,0.54025,0.34662,1.16806,1.55414,1.36186,0.00652836,0.00652836,0.00652836
3,443.571,1.18659,2.02243,1.41537,0.27667,0.08757,0.05013,0.02481,1.92163,3.50464,2.29228,0.00959782,0.00959782,0.00959782
4,598.716,1.28171,2.13796,1.49858,0.47718,0.38677,0.37742,0.22069,1.37548,2.00804,1.60106,0.009406,0.009406,0.009406
5,749.612,1.24401,1.92337,1.46295,0.50683,0.43414,0.43952,0.2671,1.33097,1.83272,1.56865,0.009208,0.009208,0.009208
6,893.918,1.20216,1.79999,1.43762,0.57414,0.46921,0.49303,0.30505,1.27795,1.65227,1.49256,0.00901,0.00901,0.00901
7,1041.03,1.17408,1.71409,1.41617,0.6298,0.51559,0.55784,0.35176,1.2253,1.51287,1.43884,0.008812,0.008812,0.008812
8,1184.49,1.15481,1.65102,1.40346,0.63482,0.55532,0.60048,0.38599,1.17589,1.37683,1.40446,0.008614,0.008614,0.008614
9,1341.94,1.12996,1.5739,1.3825,0.65844,0.56727,0.61982,0.40492,1.19901,1.35047,1.40459,0.008416,0.008416,0.008416
10,1502.2,1.11516,1.53626,1.37295,0.67658,0.59682,0.65863,0.43842,1.13715,1.23893,1.36268,0.008218,0.008218,0.008218
11,1663.95,1.09487,1.49198,1.35579,0.68133,0.59458,0.65265,0.4408,1.1254,1.2798,1.35293,0.00802,0.00802,0.00802
12,1825.75,1.08695,1.46349,1.34971,0.69363,0.61816,0.68203,0.46733,1.10779,1.20347,1.34071,0.007822,0.007822,0.007822
13,1986.73,1.06884,1.42127,1.3384,0.71972,0.62138,0.69417,0.47555,1.0869,1.15434,1.32021,0.007624,0.007624,0.007624
14,2130.09,1.05719,1.38535,1.33082,0.70272,0.64074,0.70501,0.48595,1.07772,1.11797,1.30736,0.007426,0.007426,0.007426
15,2292.13,1.05311,1.37683,1.32655,0.73601,0.63485,0.71733,0.49351,1.06664,1.09947,1.2974,0.007228,0.007228,0.007228
16,2446.89,1.03831,1.34978,1.31609,0.75109,0.64988,0.73411,0.51269,1.05151,1.06394,1.28715,0.00703,0.00703,0.00703
17,2603.56,1.03317,1.31947,1.31019,0.7495,0.65614,0.73747,0.51881,1.03082,1.03836,1.27308,0.006832,0.006832,0.006832
18,2763.76,1.02204,1.30764,1.30382,0.73822,0.66162,0.7394,0.52309,1.02427,1.02375,1.26746,0.006634,0.006634,0.006634
19,2917.05,1.0131,1.2819,1.30111,0.75011,0.67067,0.74886,0.52651,1.02409,1.01082,1.26778,0.006436,0.006436,0.006436
20,3066.87,1.0043,1.26759,1.28983,0.76636,0.66321,0.75414,0.53486,1.01832,1.00528,1.25471,0.006238,0.006238,0.006238
21,3208.36,0.99997,1.24671,1.28831,0.75482,0.69699,0.7656,0.54539,0.99554,0.96678,1.24449,0.00604,0.00604,0.00604
22,3343.71,0.98984,1.22805,1.27768,0.76051,0.68815,0.77101,0.55474,0.99347,0.95095,1.2364,0.005842,0.005842,0.005842
23,3506,0.98325,1.21324,1.27328,0.77707,0.69375,0.77275,0.55874,0.9938,0.94716,1.23626,0.005644,0.005644,0.005644
24,3670.67,0.97513,1.19249,1.26728,0.77711,0.69775,0.78053,0.56646,0.97273,0.93162,1.22307,0.005446,0.005446,0.005446
25,3805.63,0.96978,1.17219,1.26485,0.76425,0.70755,0.77858,0.56354,0.9739,0.92335,1.21765,0.005248,0.005248,0.005248
26,3955.31,0.96233,1.1679,1.25795,0.7778,0.70967,0.78776,0.57413,0.96648,0.9098,1.21558,0.00505,0.00505,0.00505
27,4093.31,0.955,1.1475,1.25491,0.79524,0.70704,0.79396,0.57807,0.96204,0.89479,1.20758,0.004852,0.004852,0.004852
28,4240.31,0.95067,1.14261,1.25312,0.77872,0.72287,0.7934,0.58147,0.96019,0.88863,1.20787,0.004654,0.004654,0.004654
29,4384.16,0.94487,1.12283,1.24763,0.78406,0.726,0.79809,0.58426,0.95533,0.88259,1.20188,0.004456,0.004456,0.004456
30,4532.8,0.93807,1.1106,1.24399,0.78833,0.72003,0.79938,0.58599,0.95206,0.87254,1.19619,0.004258,0.004258,0.004258
31,4681.67,0.93351,1.0947,1.23905,0.79916,0.73038,0.80831,0.59382,0.94751,0.86129,1.19678,0.00406,0.00406,0.00406
32,4830.9,0.92379,1.08053,1.23344,0.78647,0.73506,0.80638,0.59417,0.93876,0.85867,1.18815,0.003862,0.003862,0.003862
33,4981.19,0.91437,1.06874,1.22614,0.80628,0.72147,0.80979,0.59884,0.93818,0.85096,1.18449,0.003664,0.003664,0.003664
34,5123.05,0.91963,1.06365,1.22495,0.78906,0.73801,0.808,0.59866,0.936,0.84899,1.18461,0.003466,0.003466,0.003466
